region,headquarters,date_sampled,month_year,city_town,industries_sampled,report_by,primary_target_compounds,emergency_response,start1,end1,start2,end2
3,Abilene,12/16-20/04,2004-12-01,Snyder & Abilene,"Kinder Morgan Produced Water Treating Plant and Injection Station, Kinder Morgan SACROC Unit Operations, Parallel Petroleum Corp. Lion Diamond ""M"" Unit, BML Bulk Storage, Inc.",Jason Ivy,"H2S, SO2",,2004-12-16,2004-12-20,,
14,Corpus,1/21-25/05,2005-01-01,Point Comfort,Formosa,Do Hoang,VOC,,2005-01-21,2005-01-25,,
12,Houston,1/26-2/6/05 and 2/16-3/1/05,2005-03-01,Milby Park,"Equistar Channelview, ExxonMobil Chemical, Goodyear Tire and Rubber, Gulf Coast Waste Disposal Authority, Kemiron, Lyondell-Citgo, Texas Petrochemicals, Valero Refining, Westway Feed",Teresa Whiteley,"Carbonyl, PAH, VOC",,2005-01-26,2005-02-06,2005-02-16,2005-03-01
12,Houston,4/24-28/05,2005-04-01,Milby Park Assistance Project,"Goodyear Tire and Rubber, Texas Petrochemicals, ExxonMobil Chemical, Kemiron",Teresa Whiteley,VOC,,2005-04-24,2005-04-28,,
12,Houston,6/2-8/05,2005-06-01,East Houston,"Arkema, Inc., Boasso America, Buffalo Bunker Express, Channel Shipyard, Dixie Carriers, Eagle Asphalt, Equistar Channelview, Flex Tank Systems, GB Biosciences Corp., Glendale Boat Works, Houston Fuel Oil, Intercontinental Terminals, Kinder Morgan Galena Park, Kirby Island Marine, K-Solv, Lyondell, Merisol, OxyVinyl Battleground, Reichhold, Rohm and Haas Deer Park, Southwest Shipyard, Stolt Tank Containers, Texmark Chemicals, Total Petrochemicals La Porte, Vopak Deer Park, Vopak Galena Park",Tom Randolph,"Carbonyl, VOC",,2005-06-02,2005-06-08,,
10,Beaumont,7/24-29/05,2005-07-01,"Beaumont, Port Arthur, Port Neches, Evadale, Orange, and Winnie","BASF Corp. Agricultural Products, BASF Fina Petrochemicals Corp., Chevron Phillips Chemical Company (Co.), Huntsman Petrochemical Corp., Motiva Enterprises LLC, Newpark Environmental Services, Inc., Noble Energy, Inc. - Hayes-Keith, Total Petrochemicals USA, Inc., Valero Refining Co., and barges located along Old Yacht Club Road in Port Arthur; Arkema, Inc., Duke Energy Field Services LP/Centana Intrastate Pipeline Co., Duke Energy Field Services LP/Spindletop Compressor Station, Equistar Chemicals LP, ExxonMobil Corp.,",Jason Ivy,"H2S, SO2, VOC",,2005-07-24,2005-07-29,,
12,Houston,11/13-17/05,2005-11-01,Freeport,"BASF Corp.; Dow Chemical Plant A; Dow Chemical Plant B; Dow Chemical Oyster Creek; Equistar Chocolate Bayou Polymers; Gulf Chemical & Metallurgical; Innovene, USA Chocolate Bayou; Rhodia, Inc.; Schenectady International, Inc.; Shintech, Inc.",Teri Whiteley,Air,,2005-11-13,2005-11-17,,
12,Houston,12/7-15/05,2005-12-01,Houston,"Arkema, Inc., Channel Shipyard, Cook Composites, Crown Central Petroleum, Duco, Equistar Channelview, Equistar La Porte, Exxon Mobil Baytown, City of Freeport WWTP, GB Biosciences, Global Octanes, Gulf Chemical & Metallurgical, Gulf Coast Waste Disposal Authority, Haltermann, Houston Fuel Oil, Intercontinental Terminals, Kinder Morgan Galena Park, K-Solv, LBC PetroUnited, Lubrizol, Lyondell-Citgo Refining, Merisol, Metton America, OilTanking, OxyVinyls-Battleground, Powell Industries, Praxair, Reichhold, Rohm and Haas Deer Park, SF Sulfur, Shell Oil, Slay Transportation, Southwest Shipyard, TEPPCO, Texas Molecular, Texas Petrochemicals, Texmark, Total Petrochemicals La Porte, Valero Refining, Vopak Deer Park, Vopak Galena Park",Tom Randolph,Air,,2005-12-07,2005-12-15,,
11,Austin,2/22-24/06,2006-02-01,Bastrop,Griffin Industries,Greg Hildebrand,Air,,2006-02-22,2006-02-24,,
14,Corpus,2/17-22/06,2006-02-01,Point Comfort,Formosa,Do Hoang,VOC,,2006-02-17,2006-02-22,,
8,San Angelo,3/22-24/06,2006-03-01,Big Lake,Davis Gas Processing,Jason Ivy,Sulfur,,2006-03-22,2006-03-24,,
12,Houston,4/20-28/06,2006-04-01,Houston,"Akzo Nobel Chemicals, American Acryl, Arkema, Inc., Baker Petrolite, BASF, Boasso America, Carpenter Co., Celanese, Channel Shipyard, Cook Composites, Dixie Carriers, Dixie Chemical, Duco, Engelhard, Eurecat, Flex Tank Systems, GB Biosciences, Glendale Boat Works, Global Octanes, Goodyear Tire & Rubber, Gulf Coast Waste Disposal Authority, Haltermann, Houston Fuel Oil, Houston Marine Services, Intercontinental Terminals, Kinder Morgan Galena Park, Kinder Morgan Pasadena, K-Solv, LBC PetroUnited, Lyondell Chemical, Merisol, Nisseki Chemical, Nova Chemicals, Nova Molecular Technologies, Okfjell Terminals, OilTanking, OxyVinyl-Battleground, Powell Industries, Precoat Metals Sequa, Reichhold, Rohm and Haas Bayport, Rohm and Haas Deer Park, Shell Lubricants, Slay Transportation, Southwest Shipyard, Stolt Tank Containers, Stolthaven, TEPPCO, Texas Molecular, Texas Petrochemicals, Texmark, Total Petrochemicals Bayport, Total Petrochemicals La Porte, Vopak Deer Park, Vopak Galena Park, Zeon Chemicals",Tom Randolph,"Carbonyl, PAH, VOC",,2006-04-20,2006-04-28,,
14,Corpus,6/26-29/06,2006-06-01,Corpus,Citgo Refining,Manuel Gonzalez,"OGIC, PM10, TSP",,2006-06-26,2006-06-29,,
10,Beaumont,7/8-14/06,2006-07-01,Region 10 Mobile Lab,"BOC Gases, Chemtrade Logistics, Equistar Chemicals LP, ExxonMobil Corporation (Corp.), and Goodyear Tire & Rubber Company (Co.) in Beaumont; MeadWestvaco Texas LP in Evadale; BASF Fina Petrochemicals LP, Huntsman Petrochemical Corp. A&O Facility; Motiva Enterprises LLC, Total Petrochemicals USA, Incorporated (Inc.), and Valero Refining–Texas LP in Port Arthur; and Huntsman Petrochemical Corp. C4 Facility, Huntsman Petrochemical Corp. Joint Wastewater Treatment Plant, Huntsman Petrochemical Corp. Oxides & Olefins Facility; and ISP Synthetic Elastomers LP in Port Neches",Jason Ivy,"H2S, SO2, VOC",,2006-07-08,2006-07-14,,
9,Waco,6/17-23/06 & 8/21-25/06,2006-08-01,Riesel County,Sandy Creek Power Plant,Gregory Hildebrand,"NOx, PM, SO2",,2006-06-17,2006-06-23,2006-08-21,2006-08-25
14,Corpus,8/18-24/06,2006-08-01,"Corpus/Three Rivers, Robstown, and Ingleside","National Oil Recovery Corporation, Flint Hills Resources LP East Refinery, Flint Hills Resources LP East Refinery, Flint Hills East Storage Tank, Citgo Refining and Chemicals Company East Refinery Storage Tank 2001, Valero Refining Texas LP West Refinery Storage Tank 72TK112, Valero Refining Texas LP East Refinery, Erigian-Quiroz Oil Lease operated by Anderson Oil LTD, Texas Petrochem Well #1, and the Magnum Producing LP, Valero Refining Texas LP Refinery in Three Rivers",Tim Doty,VOC,,2006-08-18,2006-08-24,,
8,San Angelo,11/12-15/06,2006-11-01,San Angelo,Conner Steel,Teresa Whiteley,VOC,,2006-11-12,2006-11-15,,
9,Waco,11/13-15/06,2006-11-01,Franklin,ETC Texas Pipeline LTD,Tom Randolph,"H2S, SO2",,2006-11-13,2006-11-15,,
13,San Antonio,11/19-21/06,2006-11-01,Falls City,Regency Gas Services,Manuel Gonzalez,"H2S, SO2, TRS",,2006-11-19,2006-11-21,,
12,Houston,6/11-16/06,2006-12-01,Houston,"ExxonMobil Chemical, ExxonMobil Corp., Goodyear Tire and Rubber Co., Kemiron Gulf, Lyondell-Citgo, Texas Petrochemicals Baytown, Texas Petrochemicals Houston, Valero, Westway Feed Products",Teresa Whiteley,VOC,,2006-06-11,2006-06-16,,
12,Houston,12/7-14/06,2006-12-01,East Houston,"Akzo Nobel Chemicals, American Acryl, Baker Petrolite, BASF, Ballard Exploration, Celanese, Center Point Energy, Channel Shipyard, Cook Composites, Davis Petroleum, Dixie Chemical, Duco, Equistar, Eurecat, Global Octanes, Goodyear Tire & Rubber, Gulf Coast Waste Disposal (Bayport and Pasadena), Haltermann, Houston Fuel Oil, Houston Marine Services, Intercontinental Terminals, Kinder Morgan Galena Park, K-Solv, LBC PetroUnited, Legend Natural Gas (Clear Lake and Taylor Lake), Lubrizol, Metton America, Nisseki Chemical, Nova Chemicals, Odfjell Terminals, OilTanking, Powell Industries, Reichhold, Rohm and Haas (Bayport and Deer Park), Shell Lubricants, Shell Oil, Slay Transportation, Southwest Shipyard, Stolthaven, TEPPCO, Texas Molecular, Texmark Chemicals, Total Petrochemicals Bayport, Vopak (Deer Park and Galena Park), Zeon Chemicals",Tom Randolph,"Carbonyl, PAH, VOC",,2006-12-07,2006-12-14,,
13,San Antonio,1/28-29/07,2007-01-01,Helotes,Helotes Fire,Tim Doty,VOC,yes,2007-01-28,2007-01-29,,
11,Austin,3/1-2/07,2007-03-01,Bastrop,Griffin Industries,Manuel Gonzalez,Air,,2007-03-01,2007-03-02,,
14,Corpus,3/1-8/07,2007-03-01,Corpus,"Corpus Christi Area:  Citgo Refining and Chemicals Co. – East Refinery, Citgo Refining and Chemicals Co. – West Refinery, City of Corpus Christi Broadway Wastewater Treatment Facility, City of Corpus Christi Greenwood Wastewater Treatment Facility, City of Corpus Christi Oso Wastewater Treatment Facility, Dorado Oil Co - Koch PL - Viola Station, Equistar Chemicals LP, Flint Hills Resources LP – East Refinery, Flint Hills Resources LP – West Refinery, Genesis Crude Oil/Plains Marketing LP Viola Station, Javelina Co., Magellan Terminals Holdings LP, Texas Fuel and Asphalt Co., Inc., Trigeant LTD, Valero Refining Texas LP – East Refinery, and Valero Refining Texas LP – West Refinery, (2) Aransas Pass Area:  Degussa Engineered Carbons LP; (3) Bishop Area:  Ticona Polymers, Inc.; (4) Ingleside Area:  National Oil Recovery Corp. (NORCO)/ Superior Crude Gathering, Inc.; (5) Seadrift Area:  Dow Chemical Co./Union Carbide Corp. – Seadrift Operations; (6) Tivoli Area:  Northern Natural Gas; and (7) Three Rivers Area:  Valero Refining Texas LP –                             Three Rivers Refinery.",Teri Whiteley,"H2S, OGIC, PAH, SO2, VOC",,2007-03-01,2007-03-08,,
10,Beaumont,5/5-10/07,2007-05-01,Region 10 Mobile Lab,"Action Oil Service, Inc., Arkema, Inc., Chemtrade Refinery Services, Inc., Equistar chemicals LP, ExxonMobil Corp., finley Resources, Inc., Goodyear Tire & Rubber Co., Kinder Morgan Texas Pipeline, Kingwood Exploration, Sartomer Co., Inc., Stroud Production, Hayes-Keith #2 Production Facility, Huntsman Petrochemical Corp. A&O Facility, Karbuhn Oil Co., Motiva Enterprises LLC, Square Mile Energy, Total Petrochemicals USA, Inc., Valero Refining-Texas LP, MeadWestvaco Texas LP, South Hampton Refining, SUNOCO Partners",Jason Ivy,"H2S, OGIC, RTS, SO2, VOC",,2007-05-05,2007-05-10,,
12,Houston,7/20-26/07,2007-07-01,Freeport/Old Ocean/East Houston Area,"Arkema, Inc., Chevron Phillips Chemical Co. LP, ConocoPhillips Co., Dow Chemical Oyster Creek, Dow Chemical Plant B, Enbridge Energy Co., Inc., GB Biosciences Corp., Gulf Chemical & Metallurgical Corp., Merisol USA LLC, Nalso Co., Noble Energy, Inc., Reichhold, Inc., SI Group, Inc., Texmark Chemicals, Inc., Total Petrochemicals USA, Inc., VIT, Inc., Vopak Terminal Galena Park, Inc.",Teresa Whiteley,"Carbonyl, Metals, NH3, OGIC, PM10, RTS, SO2, Soil, SVOC, TSP, VOC",,2007-07-20,2007-07-26,,
4,Arlington,7/11-13/07 and 8/6-7/07,2007-08-01,Dallas/Ft. Worth,Owens Corning Corporation and Dal-Chrome Company,Tom Randolph,"Carbonyl, Metals, PM10, PM2.5, TSP, VOC",,2007-07-11,2007-07-13,2007-08-06,2007-08-07
6,El Paso,8/18-24/07,2007-08-01,El Paso,"Bruce Foods Corp., City of El Paso Delta Wastewater Treatment Plant, Juarez, Mexico Wastewater Treatment Facility, Kinder Morgan Company El Paso Breakout Station, Western Refining Co. LP  North Plant, Western Refining Co. LP  South Plant",Tim Doty,"H2S, SO2, VOC",,2007-08-18,2007-08-24,,
12,Houston,7/26-8/3/07  and 8/5-10/07,2007-08-01,Texas City,Dial Project,Sally Klein,VOC,,2007-07-26,2007-08-03,2007-08-05,2007-08-10
14,Corpus,8/6-8/07,2007-08-01,Point Comfort,"Formosa Plastics Corp. and Future Petroleum Company, LLC",Tim Doty,VOC,,2007-08-06,2007-08-08,,
12,Houston,12/13-19/07,2007-12-01,Galena Park,"Chevron Phillips Chemical Company LP, ExxonMobil Chemical Co., ExxonMobil Corp., Goodyear Tire & Rubber Co., Gulf Coast Waste Disposal Authority, Haltermann LTD, Houston Fuel Oil Terminal Co., Houston Refining LP, Innovene Polyethylene North America, Intercontinental Terminals Co., Kinder Morgan Galena Park Terminal, Kinder Morgan Pasadena Terminal, Metton America, Inc., Motiva Enterprises LLC, Oxy Vinyls LP, Pasadena Paper Co., LP, Pasadena Refining, Rohm and Haas Texas, Inc., Shell Oil Co., TEPPCO Crude Pipeline, Inc., Texmark Chemicals, Inc., Texas Molecular, Inc., Total Petrochemicals USA, Inc., U.S. Oil Recovery LLC, Valero Refining Texas LP, Vopak Logistics Services USA, Inc., Vopak Terminal Galena Park, Inc., Advanced Aromatics LP, Kinder Morgan Arrow Terminals LP, Kinder Morgan Liquids Terminals LLC, K-Solv LP, Lubrizol Corp., Magellan Terminals Holdings, LP, National Oilwell LP, Natural Gas Odorizing, Inc., Oil Tanking Houston LP, Oxy Vinyls LP, Solvay Chemicals, Inc., Stolt Tank Containers, Stolthaven Houston, Inc., TE Products Pipeline Co. LLC, Texas Petrochemicals LP, Texas Petrochemicals Corp., United States Gypsum Co.",Teresa Whiteley,"Carbonyl, OGIC, VOC",,2007-12-13,2007-12-19,,
7,Midland,1/9-12/08,2008-01-01,Midland/Odessa Area,Flint Hills Resources LP - East and West Plants,Tim Doty,OGIC,,2008-01-09,2008-01-12,,
9,Waco,1/8-10/08,2008-01-01,Waco,M. Lipsitz & Co.,Manuel Gonzalez,"Metals, PM10, TSP, VOC",,2008-01-08,2008-01-10,,
12,Houston,1/28-2/1/08,2008-02-01,Pearland,"Akzo Nobel Surfactants, Blue Ridge Landfill TX LP, Center Point Energy Mercaptan Station, City of Pearland, Far Northwest Wastewater Treatment Plant and Lift Station, Otex Resources LLC",Sally Klein,"H2S, OGIC, RTS, SO2, VOC",,2008-01-28,2008-02-01,,
12,Houston,1/31-2/3/08,2008-02-01,Mont Belvieu,"VOC, RTGC, Canisters, and Infrared (IR) Camera",Tim Doty,"Canister, OGIC, RTGC, VOC",,2008-01-31,2008-02-03,,
14,Corpus,3/2-6/08,2008-03-01,Point Comfort,"Formosa Plastics Corp., Formosa Hydrocarbons Co., Inc., Future Petroleum Co. LLC, Alcoa, Inc., NuStar Logistics LP, Koch Pipeline Co. LP",Trina Muenzer,"OGIC, VOC",,2008-03-02,2008-03-06,,
14,Corpus,3/29 - 4/4/08 & 4/21/08,2008-04-01,Corpus,"Anderson Oil Ltd - Erigan-Quiroz Lease, Anderson Oil Ltd - F.J. Smith Lease, Carter Exploration Col - Chapman Ranch Lease, Cinco Natural Resources Corp. - Tank Farm Facility, Citgo Refining and Chemicals Co. - East Refinery, Citgo Refining and Chemicals Co. - West Refinery, City of Corpus Christi Broadway Wastewater Treatment Plant, City of Corpus Christi Greenwood Wastewater Treatment Plant, Continental Trend Resources, Inc. - Gillium #1 Tank Battery and Gilllium #2 Tank Battery, Continental Trend Resources, Inc. - G.H. McCann CentralTank Battery, Dow Chemical Co./Union Carbide Corp. - Seadrift Operations, Enterprise Products, Flint Hills Resources LP - East Refinery, Flint Hills Resources LP - West Refinery, Greenbriar Energy, Inc. - Well #1,",Tom Randolph,"H2S, OGIC, SO2, VOC",,2008-03-29,2008-04-04,2008-04-21,2008-04-21
14,Corpus,5/20-23/08,2008-05-01,Gregory/San Patricio and Aransas Counties,Sherwin Alumina LP Tailing Ponds,Stephanie Ma,"Metals, PM10, Tape Lift, TSP",,2008-05-20,2008-05-23,,
12,Houston,5/30-6/6/08,2008-06-01,Texas City,"Black Marlin/Williams Pipeline Co.; BP Products North America, Inc., Texas City Operations; BP Texas City Chemical Plant A; Dow Chemical Co., Texas City Operations; Dunn Heat Exchangers, Inc.; Energy Transfer Houston Pipeline Co. LP; Gulf Coast Waste Disposal Authority; ISP Technologies, Inc.; Marathon Petroleum Co. LLC; NuStar (StanTrans Partners LP); Sterling Chemicals, Inc.; Valero Refining Co.",Teri Whiteley,"Carbonyl, H2S, OGIC, SO2, SVOC, VOC",,2008-05-30,2008-06-06,,
15,Harlingen,6/21-24/08,2008-06-01,Brownsville,"TransMontaigne Product Services, Inc. – Southwest Terminal, TransMontaigne Product Services, Inc. – Tejano Terminal, Citgo Petroleum Corp. – Brownsville Terminal",Tim Doty,OGIC,,2008-06-21,2008-06-24,,
10,Beaumont,7/25-8/1/08,2008-07-01,"Region 10 Area - Beaumont, Port Arthur, Port Neches, Evadale, Orange","Arkema, Inc., BASF Corporation (Corp.), BOC Gases, E & B Natural Resources, Equistar Chemicals LP, Mobil Corp., ExxonMobil Tank Farm, Finley Resources, Inc., Kingwood Exploration LLC Gladys City OG&M Co., Goodyear Tire & Rubber Co. Kingwood Exploration LLC Sartomer Co., Inc. BASF FINA, Petrochemicals LP Chevron Phillips Chemical Co. LP DCP Midstream LP, Hayes-Keith #2 Production Facility, Karbun Oil Co. Kinder Morgan Bulk Terminals, Inc., Motiva Enterprises LLC, Square Mile Energy LLC, Total Petrochemicals USA, Inc., Valero Refining-Texas LP, MeadWestvaco Texas LP, Chevron Phillips Chemical Co. LP, Firestone Polymers LLC, LANXESS Energizing Chemistry, Printpack, Inc., Huntsman Petrochemical Corp. Joint Wastewater Treatment Plant, Huntsman Petrochemical Corp., Huntsman Petrochemical Corp. Oxides & Olefins Facility, ISP Synthetic Elastomers LP, Motiva Enterprises LLC, Texas Petrochemicals LP",Jason Ivy,"H2S, OGIC, SO2, VOC",,2008-07-25,2008-08-01,,
6,El Paso,8/15-20/08,2008-08-01,El Paso,"Kinder Morgan Co. - El Paso Breakout Station, Western Refining Co. LP - North Plant, Western Refining Co. LP - South Plant",Manuel Gonzalez,"OGIC, VOC",,2008-08-15,2008-08-20,,
11,Austin,12/4-5/08,2008-12-01,Austin,Pure Castings Company,Vaji Mohtashami,"H2S, Metals, PM2.5, PM10, SO2, TSP, VOC",,2008-12-04,2008-12-05,,
5,Tyler,1/4-8/09,2009-01-01,Longview,"Southern Bay Operating, L.L.C. and AROC (Texas), Inc. Tank Battery, Chinn Exploration Co. Tank Batteries, XTO Energy, Inc., and Knox-Lee Power Plant",Tim Doty,"OGIC, VOC",,2009-01-04,2009-01-08,,
