STAFF_REGION,RN_REGION,LEAD_INVESTIGATOR,RN,INVEST_NUM,STATUS_DT,START_DT,END_DT,EQUIP_CATGRY,EQUIP_CAT_DESC,CHECKLIST_NAME,CL_CHK_ITM_COMMENT
REGION 10,R10BEAU,JOECHAVA,RN111320891,1987317, 07/01/2024, 05/01/2024, 05/01/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,TLESTARJ,RN104042726,1974216, 07/01/2024, 06/17/2024, 06/17/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,ERPAYNE,RN111989539,1994273, 06/28/2024, 04/19/2024, 04/19/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,Asset # 055747-01
REGION 07,R07MIDL,KSILVA,RN111652863,1993995, 06/28/2024, 05/23/2024, 05/23/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,TBOYD,RN110043395,1989918, 06/28/2024, 05/23/2024, 05/23/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,TBOYD,RN111109112,1989875, 06/28/2024, 05/23/2024, 05/23/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,TRGARCIA,RN111287397,1988399, 06/28/2024, 05/16/2024, 05/16/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,VFOSTER,RN100218916,1994206, 06/28/2024, 05/15/2024, 05/15/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,VFOSTER,RN105219364,1994207, 06/28/2024, 05/15/2024, 05/15/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,HFAIRBAN,RN100224567,1988439, 06/27/2024, 05/22/2024, 05/22/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,HFAIRBAN,RN102547601,1988440, 06/27/2024, 05/22/2024, 05/22/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,MIKHAN,RN110016037,1988550, 06/27/2024, 05/13/2024, 05/13/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,RBERDOZA,RN109944652,1990116, 06/27/2024, 05/13/2024, 05/13/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,Asset 055747-01
REGION 07,R07MIDL,RBERDOZA,RN111392759,1989734, 06/27/2024, 06/13/2024, 06/13/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,Asset 055747-01
REGION 02,R02LUBK,MMCLEMOR,RN110794229,1989516, 06/26/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,"38-MM, Operated by Marissa McLemore"
REGION 02,R02LUBK,MMCLEMOR,RN110837705,1989552, 06/26/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,"38-MM, operated by Marissa McLemore"
REGION 12,R12HOUS,AWEAVER,RN104046149,1994184, 06/26/2024, 06/13/2024, 06/13/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,WSPAIN,RN102507209,1989239, 06/25/2024, 05/02/2024, 05/02/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,OGIC camera GF320 (S/N: 44402271)
REGION 12,R12HOUS,RMOLINA,RN104046230,1976681, 06/25/2024, 04/22/2024, 04/22/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,JSPRAGUE,RN100217504,1989305, 06/24/2024, 05/08/2024, 05/08/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,WSPAIN,RN111263455,1993839, 06/24/2024, 05/07/2024, 05/07/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,OGIC camera GF320 (S/N: 44402271)
REGION 10,R10BEAU,ACOOPERE,RN100218726,1982849, 06/24/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 15,R15HARL,VCANTU,RN102516978,1982752, 06/24/2024, 04/03/2024, 04/17/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 02,R02LUBK,MMCLEMOR,RN111334215,1988997, 06/21/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,"38-mm, operated by Marissa McLemore"
REGION 07,R07MIDL,ERPAYNE,RN106854235,1950605, 06/21/2024, 03/11/2024, 03/14/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 13,R13SANT,JGOMEZ,RN110409430,1987700, 06/21/2024, 05/22/2024, 05/22/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,JOPEARCE,RN106335656,1982707, 06/21/2024, 05/13/2024, 05/20/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,ARANGEL,RN106934664,1988427, 06/20/2024, 05/14/2024, 05/14/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,MAKBAR,RN110371002,1988243, 06/20/2024, 05/21/2024, 05/21/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,SDAILEY,RN105971915,1987648, 06/20/2024, 05/13/2024, 05/13/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,OGIC (Asset # 055747-01)
REGION 12,R12HOUS,NSUBEDI,RN104046008,1976797, 06/20/2024, 04/25/2024, 04/25/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,JOPEARCE,RN105630461,1983235, 06/20/2024, 05/03/2024, 05/03/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,TRIEGER,RN102770690,1987368, 06/20/2024, 04/23/2024, 04/23/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 11,R11AUST,RCIAMPI,RN111718318,1976885, 06/19/2024, 03/06/2024, 05/01/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,AWEAVER,RN104046008,1989624, 06/19/2024, 05/23/2024, 05/23/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,TLESTARJ,RN104046032,1988662, 06/19/2024, 05/15/2024, 05/15/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,TRGARCIA,RN110656345,1989619, 06/17/2024, 05/16/2024, 05/16/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,EWOODS,RN104045992,1987359, 06/17/2024, 05/06/2024, 05/06/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 13,R13SANT,CREZENDE,RN101485183,1965754, 06/17/2024, 02/21/2024, 02/26/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 05,R05TYLR,KTHOMPSO,RN110283900,1993823, 06/14/2024, 06/11/2024, 06/11/2024,OGIC,OGIC#FLIR Systems Thermocam GasFindIRTM HSX Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,ERPAYNE,RN102229572,1989618, 06/14/2024, 05/14/2024, 05/14/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,Asset 055747-01
REGION 07,R07MIDL,VMCLEAN,RN100238633,1990050, 06/14/2024, 05/15/2024, 05/15/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 16,R16LARE,EMORALES,RN108304643,1956705, 06/14/2024, 01/30/2024, 05/31/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,JMALIK,RN100542257,1989145, 06/13/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,SDAILEY,RN100211408,1987646, 06/13/2024, 05/13/2024, 05/13/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,OGIC (Asset # 055747-01)
REGION 11,R11AUST,RCIAMPI,RN100518026,1990021, 06/13/2024, 05/30/2024, 05/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 15,R15HARL,VCANTU,RN100840040,1975748, 06/13/2024, 04/03/2024, 04/17/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 02,R02LUBK,MMCLEMOR,RN111971230,1989140, 06/12/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,"38-MM, operated by Marissa McLemore"
REGION 01,R01AMA,WSNIDER,RN102320850,1989678, 06/11/2024, 05/30/2024, 05/31/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,EWOODS,RN104042726,1989288, 06/10/2024, 04/23/2024, 04/23/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,EWOODS,RN104042726,1989299, 06/10/2024, 05/10/2024, 05/10/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,NSUBEDI,RN102535077,1967120, 06/10/2024, 05/16/2024, 05/16/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 02,R02LUBK,MMCLEMOR,RN109737155,1988524, 06/06/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,"38-mm, operated by Marissa McLemore"
REGION 12,R12HOUS,GFLORES,RN104046149,1988935, 06/06/2024, 05/29/2024, 05/29/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,KERSKINS,RN103919817,1967356, 06/06/2024, 02/20/2024, 02/23/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,KERSKINS,RN103919817,1967356, 06/06/2024, 02/20/2024, 02/23/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 13,R13SANT,JGOMEZ,RN111981692,1974940, 06/06/2024, 04/11/2024, 04/11/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 03,R03ABIL,KROWE,RN110005634,1988434, 06/05/2024, 04/18/2024, 04/18/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,DMAINALI,RN102418563,1987676, 06/05/2024, 04/17/2024, 04/17/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,JMALIK,RN111507323,1983166, 06/05/2024, 04/03/2024, 04/03/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,GFLORES,RN104046149,1987751, 06/05/2024, 05/15/2024, 05/15/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 02,R02LUBK,MMCLEMOR,RN110125028,1988640, 06/04/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,"38-mm, operated by Marissa McLemore"
REGION 14,R14CORP,CCHALOUP,RN100221662,1982835, 06/04/2024, 05/01/2024, 05/01/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,EWOODS,RN104042726,1956373, 06/03/2024, 03/26/2024, 03/26/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,VIGBERAS,RN100229905,1924943, 06/03/2024, 05/16/2024, 05/16/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,KHALEPES,RN100235266,1973886, 06/03/2024, 03/21/2024, 04/04/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 02,R02LUBK,MMCLEMOR,RN110736170,1987573, 05/31/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,38-MM. operated by Marissa McLemore
REGION 02,R02LUBK,MMCLEMOR,RN110827151,1987501, 05/31/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,"38-mm, Operated by Marissa McLemore"
REGION 02,R02LUBK,MMCLEMOR,RN111967675,1987736, 05/31/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,"38-mm, operated by Marissa McLemore"
REGION 07,R07MIDL,WSPAIN,RN102190485,1987462, 05/31/2024, 05/02/2024, 05/02/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,WSPAIN,RN102190485,1987462, 05/31/2024, 05/02/2024, 05/02/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,AOLATORE,RN100218411,1967087, 05/31/2024, 03/26/2024, 05/01/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,AWEAVER,RN104046271,1950167, 05/31/2024, 04/18/2024, 04/18/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,RMOLINA,RN100561182,1966625, 05/31/2024, 05/28/2024, 05/28/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,RMOLINA,RN102037959,1966647, 05/31/2024, 05/22/2024, 05/22/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,SAMRAMOS,RN100209931,1956316, 05/31/2024, 02/27/2024, 05/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,SAMRAMOS,RN102325974,1956315, 05/31/2024, 02/09/2024, 03/21/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,CCHALOUP,RN109910067,1982720, 05/31/2024, 04/30/2024, 05/07/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,LKINCAID,RN100218841,1956305, 05/30/2024, 05/07/2024, 05/07/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,NSUBEDI,RN104045992,1974496, 05/30/2024, 04/02/2024, 04/02/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,CYSMITH,RN106505720,1944844, 05/30/2024, 05/15/2024, 05/28/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,DMAINALI,RN106385016,1975030, 05/29/2024, 03/19/2024, 03/19/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,PMORALES,RN102097904,1983200, 05/29/2024, 04/24/2024, 04/24/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,WSPAIN,RN104057047,1988740, 05/29/2024, 04/23/2024, 04/23/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,OGIC camera GF320 (S/N: 44402271)
REGION 12,R12HOUS,NFOSTER,RN104046206,1988896, 05/29/2024, 05/06/2024, 05/06/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,TRIEGER,RN100215276,1987669, 05/29/2024, 05/13/2024, 05/13/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 01,R01AMA,JEJENSEN,RN102495884,1988608, 05/28/2024, 04/16/2024, 04/17/2024,OGIC,OGIC#FLIR Systems Thermocam GasFindIRTM HSX Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,JSPRAGUE,RN100213719,1987982, 05/28/2024, 04/17/2024, 04/17/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,PCHEN,RN100226414,1960646, 05/28/2024, 02/05/2024, 02/22/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,ESIKES,RN102332673,1966441, 05/24/2024, 04/22/2024, 04/22/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,NSUBEDI,RN104046230,1973928, 05/24/2024, 03/27/2024, 03/27/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,CCHALOUP,RN102536836,1949648, 05/24/2024, 03/18/2024, 04/01/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,SDAILEY,RN106024144,1976721, 05/23/2024, 04/29/2024, 04/29/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,OGIC (Asset # 055747-01)
REGION 12,R12HOUS,RDAIGLE,RN100706811,1945017, 05/23/2024, 04/18/2024, 04/18/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,TLESTARJ,RN100211879,1925505, 05/23/2024, 04/18/2024, 04/18/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 16,R16LARE,EMORALES,RN107258972,1976471, 05/23/2024, 04/03/2024, 04/03/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,MHORTON,RN106831423,1973825, 05/22/2024, 03/26/2024, 03/26/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 09,R09WAC,SYTUCKER,RN110939527,1976306, 05/21/2024, 04/22/2024, 05/14/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,AWEAVER,RN104046149,1973171, 05/20/2024, 03/20/2024, 03/20/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,CGOMEZ,RN100219260,1966411, 05/20/2024, 05/03/2024, 05/03/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,MPHIPPS,RN101851517,1967139, 05/20/2024, 04/11/2024, 04/11/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,RRHODA,RN100238708,1924903, 05/20/2024, 11/15/2023, 11/15/2023,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 13,R13SANT,SALOPEZ,RN104049044,1973236, 05/20/2024, 03/18/2024, 03/18/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,WSPAIN,RN102604048,1982702, 05/17/2024, 04/30/2024, 04/30/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,OGIC camera GF320 (S/N: 44402271)
REGION 12,R12HOUS,JROBKENN,RN100209931,1956275, 05/17/2024, 02/05/2024, 03/04/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,EWOODS,RN100219500,1967089, 05/16/2024, 04/17/2024, 04/17/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,KERSKINS,RN100219310,1945012, 05/16/2024, 05/13/2024, 05/13/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
